iter	Accuracy	MultiClass
0	0.6492180712	0.6807300743
1	0.6567115552	0.673616592
2	0.6617615117	0.6639654071
3	0.6614900087	0.6559667048
4	0.6600238923	0.6478117554
5	0.6636077324	0.6435817812
6	0.6629018245	0.6373325488
7	0.6660512598	0.6340111532
8	0.6661055604	0.631492205
9	0.6691463944	0.6277811786
10	0.6710469157	0.6243174484
11	0.6746307559	0.6214266592
12	0.6772914857	0.6185846031
13	0.6770199826	0.6142829913
14	0.6771828844	0.6103047511
15	0.6766398784	0.6077326429
16	0.6820156386	0.6041144928
17	0.6835903562	0.6021155552
18	0.6851107732	0.6000154328
19	0.6873913988	0.598178818
20	0.6900521286	0.5962561945
21	0.6954278888	0.5936513063
22	0.696513901	0.5921832333
23	0.6977628149	0.588714959
24	0.7000434405	0.585954236
25	0.7012923545	0.5824485544
26	0.7016724587	0.5815365476
27	0.7027041703	0.5809075212
28	0.7041702867	0.578830709
29	0.7060165074	0.5765225878
30	0.7069939183	0.5745856134
31	0.7094917463	0.5732374772
32	0.710360556	0.5716121691
33	0.7117180712	0.5692921344
34	0.7140529974	0.5672441668
35	0.715356212	0.5660582355
36	0.715356212	0.5651555353
37	0.7162793223	0.5637667576
38	0.7172567333	0.5624140284
39	0.7188314509	0.5601916538
40	0.7199717637	0.5571710812
41	0.7201346655	0.5568201969
42	0.7202975673	0.5561577029
43	0.7223066898	0.5530759908
44	0.7232841008	0.5521289324
45	0.7263249348	0.5493376322
46	0.7281711555	0.5486838617
47	0.729908775	0.546971886
48	0.7315377932	0.5448342539
49	0.7326238054	0.543260133
50	0.7346329279	0.5419877783
51	0.735447437	0.5416395735
52	0.7361533449	0.5406471096
53	0.7371307559	0.5384719175
54	0.7391398784	0.5362674193
55	0.7396828844	0.5343216934
56	0.7403887924	0.5338960032
57	0.7423436142	0.5318964675
58	0.7422893136	0.5302571475
59	0.7446785404	0.5285766531
60	0.7473392702	0.525547348
61	0.7477736751	0.5249483452
62	0.7488596872	0.5229158384
63	0.749728497	0.5224179562
64	0.7498370982	0.5203007776
65	0.7527150304	0.5178017642
66	0.7528779322	0.5163287132
67	0.752769331	0.5158279615
68	0.7532037359	0.51524595
69	0.7534209383	0.5144964212
70	0.7541268462	0.5141876134
71	0.7558644657	0.512272474
72	0.7558644657	0.512058794
73	0.7568961772	0.5114402668
74	0.7585251955	0.509885401
75	0.759556907	0.5086682708
76	0.7615117289	0.5066634417
77	0.7618375326	0.506231547
78	0.7629778454	0.5049932096
79	0.7634122502	0.5040483401
80	0.7639552563	0.5036643383
81	0.7665616855	0.5012794092
82	0.7669417897	0.5009200367
83	0.7693310165	0.4988817567
84	0.7708514335	0.4973553216
85	0.7715030408	0.4959535915
86	0.7717202433	0.4957717405
87	0.7730777585	0.4946611719
88	0.7726976542	0.4942723136
89	0.7731863597	0.4938159538
90	0.7738922676	0.4931328062
91	0.7749239791	0.4927875287
