iter	Passed	Remaining
0	222	222307
1	279	139281
2	336	111784
3	400	99635
4	465	92597
5	518	85836
6	575	81703
7	635	78796
8	689	75900
9	746	73929
10	807	72565
11	863	71073
12	920	69892
13	979	68997
14	1037	68158
15	1094	67319
16	1157	66936
17	1221	66623
18	1285	66348
19	1360	66647
20	1424	66392
21	1491	66294
22	1558	66220
23	1617	65760
24	1679	65518
25	1745	65405
26	1806	65112
27	1872	64990
28	1938	64895
29	2000	64697
30	2058	64330
31	2123	64249
32	2195	64324
33	2260	64224
34	2319	63959
35	2375	63606
36	2442	63572
37	2505	63428
38	2577	63514
39	2637	63291
40	2700	63173
41	2759	62935
42	2876	64024
43	2960	64331
44	3030	64311
45	3097	64247
46	3155	63973
47	3209	63664
48	3264	63353
49	3320	63083
50	3383	62953
51	3454	62972
52	3536	63193
53	3601	63099
54	3659	62874
55	3722	62758
56	3798	62835
57	3868	62837
58	3939	62830
59	3997	62635
60	4054	62407
61	4113	62231
62	4174	62091
63	4236	61956
64	4309	61996
65	4381	61999
66	4446	61923
67	4522	61978
68	4593	61979
69	4657	61883
70	4719	61751
71	4787	61699
72	4857	61686
73	4934	61749
74	4995	61606
75	5052	61432
76	5122	61406
77	5183	61270
78	5243	61131
79	5308	61048
80	5372	60949
81	5433	60824
82	5491	60676
83	5547	60490
84	5606	60350
85	5669	60255
86	5722	60058
87	5781	59913
88	5845	59830
89	5908	59739
90	5972	59655
91	6034	59555
92	6093	59426
93	6155	59323
94	6214	59197
95	6267	59023
96	6326	58899
97	6388	58801
98	6457	58770
99	6527	58744
100	6596	58716
101	6660	58641
102	6722	58545
103	6784	58451
104	6842	58327
105	6907	58257
106	6960	58089
107	7020	57987
108	7080	57878
109	7143	57799
110	7201	57680
111	7261	57573
112	7322	57479
113	7376	57333
114	7437	57236
115	7499	57152
116	7570	57133
117	7635	57072
118	7706	57050
119	7771	56990
120	7841	56966
121	7899	56850
122	7955	56722
123	8016	56632
124	8073	56517
125	8134	56427
126	8194	56329
127	8250	56209
128	8302	56056
129	8362	55966
130	8420	55861
131	8476	55736
132	8544	55697
133	8619	55702
134	8692	55694
135	8758	55643
136	8823	55581
137	8887	55511
138	8944	55404
139	8997	55270
140	9060	55196
141	9121	55112
142	9194	55102
143	9264	55070
144	9329	55014
145	9389	54921
146	9446	54817
147	9510	54751
148	9570	54658
149	9630	54575
150	9687	54465
151	9745	54368
152	9797	54236
153	9859	54163
154	9918	54072
155	9980	53996
156	10042	53922
157	10112	53893
158	10182	53856
159	10243	53776
160	10304	53700
161	10365	53620
162	10428	53550
163	10504	53548
164	10573	53507
165	10646	53489
166	10702	53384
167	10761	53295
168	10835	53278
169	10890	53172
170	10947	53072
171	11007	52991
172	11066	52903
173	11127	52821
174	11186	52736
175	11242	52634
176	11303	52558
177	11356	52442
178	11418	52372
179	11479	52294
180	11547	52250
181	11610	52185
182	11661	52064
183	11719	51974
184	11780	51897
185	11837	51806
186	11896	51722
187	11953	51628
188	12014	51555
189	12074	51476
190	12128	51370
191	12189	51297
192	12256	51249
193	12326	51213
194	12389	51147
195	12450	51072
196	12518	51025
197	12585	50975
198	12658	50952
199	12726	50905
200	12795	50863
201	12858	50799
202	12916	50712
203	12973	50623
204	13036	50555
205	13094	50471
206	13151	50382
207	13210	50301
208	13263	50197
209	13324	50123
210	13379	50030
211	13439	49955
212	13501	49886
213	13557	49794
214	13613	49706
215	13667	49606
216	13725	49524
217	13792	49474
218	13853	49405
219	13917	49343
220	13971	49248
221	14031	49174
222	14095	49111
223	14160	49054
224	14231	49018
225	14302	48982
226	14368	48928
227	14428	48854
228	14493	48797
229	14562	48752
230	14632	48711
231	14693	48639
232	14757	48579
233	14814	48496
234	14873	48418
235	14932	48341
236	15007	48315
237	15081	48286
238	15144	48220
239	15205	48150
240	15260	48061
241	15316	47973
242	15376	47900
